

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.040  000.040: --- NVIM STARTING ---
021.595  021.556: locale set
022.662  001.066: inits 1
023.033  000.372: window checked
027.854  004.820: parsing arguments
027.993  000.139: expanding arguments
028.089  000.096: inits 2
032.011  003.923: init highlight
032.023  000.012: waiting for UI
041.554  009.531: done waiting for UI
041.596  000.042: init screen for UI
041.652  000.056: init default mappings
042.087  000.434: init default autocommands
046.417  000.239  000.239: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\synload.vim
063.580  016.685  016.685: sourcing C:\tools\Neovim\share\nvim\runtime\filetype.vim
066.763  001.916  001.916: sourcing C:\tools\Neovim\share\nvim\runtime\scripts.vim
067.127  023.517  004.677: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\syntax.vim
068.612  000.363  000.363: sourcing C:\tools\Neovim\share\nvim\runtime\syntax/nosyntax.vim
069.337  000.207  000.207: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\synload.vim
069.598  002.100  001.530: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\syntax.vim
070.346  027.110  001.493: sourcing C:\Users\matej/.vimrc
070.896  000.067  000.067: sourcing C:\tools\Neovim\share\nvim\runtime\filetype.vim
071.564  000.143  000.143: sourcing C:\tools\Neovim\share\nvim\runtime\ftplugin.vim
072.262  000.176  000.176: sourcing C:\tools\Neovim\share\nvim\runtime\indent.vim
075.694  002.935  002.935: sourcing C:\Users\matej\AppData\Local\nvim-data\site\autoload\plug.vim
097.453  001.573  001.573: sourcing C:\tools\Neovim\share\nvim\runtime\ftoff.vim
130.180  000.110  000.110: sourcing C:\Users\matej\.vim\plugged\vim-fugitive\ftdetect\fugitive.vim
131.479  000.342  000.342: sourcing C:\Users\matej\.vim\plugged\vim-go\ftdetect\gofiletype.vim
132.504  000.238  000.238: sourcing C:\Users\matej\.vim\plugged\elm-vim\ftdetect\elm.vim
133.552  000.122  000.122: sourcing C:\Users\matej\.vim\plugged\kotlin-vim\ftdetect\kotlin.vim
134.432  000.118  000.118: sourcing C:\Users\matej\.vim\plugged\vimtex\ftdetect\cls.vim
134.820  000.109  000.109: sourcing C:\Users\matej\.vim\plugged\vimtex\ftdetect\tex.vim
